dynamics,cparam,direction,network,rng.far,rng.near,deltaT,D
doublewell,u,up,canton,0,0.5,0.01,0.05
doublewell,u,up,catlins,0,1.5,0.01,0.05
doublewell,u,up,chesapeake,0,1.5,0.01,0.05
doublewell,u,up,dolphin,0,2.5,0.01,0.05
doublewell,u,up,drug,0,2,0.01,0.05
doublewell,u,up,ecoli,0,2,0.01,0.025
doublewell,u,up,email_company,0,2,0.01,0.01
doublewell,u,up,erdosrenyi,0,2.5,0.01,0.05
doublewell,u,up,flamingo,0,1,0.01,0.05
doublewell,u,up,gap_junction_herm,0,2,0.01,0.025
doublewell,u,up,jazz,0,2,0.01,0.01
doublewell,u,up,lattice,0,3,0.01,0.05
doublewell,u,up,metabolic,0,2,0.01,0.005
doublewell,u,up,montreal,0,2,0.01,0.05
doublewell,u,up,netsci,0,1.5,0.01,0.05
doublewell,u,up,physician_trust,0,1.5,0.01,0.05
doublewell,u,up,protein,0,2,0.01,0.05
doublewell,u,up,proximity,0,0.25,0.01,0.05
doublewell,u,up,smallworld,0,2.5,0.01,0.05
doublewell,u,up,students,0,2.5,0.01,0.05
doublewell,u,up,train_terrorists,0,1.5,0.01,0.05
doublewell,u,up,tree,0,3,0.01,0.05
doublewell,u,up,windsurfers,0,1,0.01,0.05
mutualistic,D,down,adjnoun,1.5,0.5,0.01,
mutualistic,D,down,barabasialbert,1.5,0.5,0.01,
mutualistic,D,down,canton,1.5,0.5,0.01,
mutualistic,D,down,catlins,2,1,0.01,
mutualistic,D,down,chesapeake,1,0.2,0.01,
mutualistic,D,down,dolphin,1.5,0.5,0.01,
mutualistic,D,down,drug,2,1,0.01,
mutualistic,D,down,ecoli,2,1,0.01,
mutualistic,D,down,email_company,1.5,0.5,0.005,
mutualistic,D,down,erdosrenyi,1.5,0.5,0.01,
mutualistic,D,down,flamingo,2,1,0.01,
mutualistic,D,down,gap_junction_herm,2,1,0.01,
mutualistic,D,down,jazz,1.5,0.5,0.005,
mutualistic,D,down,lattice,1,0,0.01,
mutualistic,D,down,metabolic,1.5,0.5,0.005,
mutualistic,D,down,montreal,1.5,0.5,0.01,
mutualistic,D,down,netsci,1.5,0.5,0.01,
mutualistic,D,down,physician_trust,1,0,0.01,
mutualistic,D,down,protein,2,1,0.01,
mutualistic,D,down,proximity,1.5,0.5,0.01,
mutualistic,D,down,smallworld,1,0,0.01,
mutualistic,D,down,students,1.5,0.5,0.01,
mutualistic,D,down,train_terrorists,1.5,0.5,0.01,
mutualistic,D,down,tree,2,1,0.01,
mutualistic,D,down,windsurfers,1,0,0.01,
mutualistic,u,down,adjnoun,0,-3,0.01,0.05
mutualistic,u,down,barabasialbert,0,-3,0.01,0.05
mutualistic,u,down,canton,0,-3,0.01,0.05
mutualistic,u,down,catlins,0,-3,0.01,0.05
mutualistic,u,down,chesapeake,0,-4,0.01,0.05
mutualistic,u,down,dolphin,0,-3,0.01,0.05
mutualistic,u,down,drug,0,-3,0.01,0.05
mutualistic,u,down,ecoli,0,-3,0.01,0.05
mutualistic,u,down,email_company,0,-3,0.01,0.05
mutualistic,u,down,erdosrenyi,0,-3,0.01,0.05
mutualistic,u,down,flamingo,0,-3,0.01,0.05
mutualistic,u,down,gap_junction_herm,0,-3,0.01,0.05
mutualistic,u,down,jazz,0,-3,0.01,0.05
mutualistic,u,down,lattice,0,-4,0.01,0.05
mutualistic,u,down,metabolic,0,-3,0.01,0.05
mutualistic,u,down,montreal,0,-3,0.01,0.05
mutualistic,u,down,netsci,0,-3,0.01,0.05
mutualistic,u,down,physician_trust,0,-3,0.01,0.05
mutualistic,u,down,protein,0,-3,0.01,0.05
mutualistic,u,down,proximity,0,-3,0.01,0.05
mutualistic,u,down,smallworld,0,-4,0.01,0.05
mutualistic,u,down,students,0,-3,0.01,0.05
mutualistic,u,down,train_terrorists,0,-3,0.01,0.05
mutualistic,u,down,tree,0,-3,0.01,0.05
mutualistic,u,down,windsurfers,0,-4,0.01,0.05
SIS,D,down,adjnoun,1,0,0.01,
SIS,D,down,barabasialbert,1,0,0.01,
SIS,D,down,canton,1,0,0.01,
SIS,D,down,catlins,1,0,0.01,
SIS,D,down,chesapeake,1,0,0.01,
SIS,D,down,dolphin,1,0,0.01,
SIS,D,down,drug,1,0,0.01,
SIS,D,down,ecoli,1,0,0.01,
SIS,D,down,email_company,1,0,0.01,
SIS,D,down,erdosrenyi,1,0,0.01,
SIS,D,down,flamingo,1,0,0.01,
SIS,D,down,gap_junction_herm,1,0.4,0.01,
SIS,D,down,jazz,1,0,0.01,
SIS,D,down,lattice,1,0,0.01,
SIS,D,down,metabolic,1,0,0.005,
SIS,D,down,montreal,1,0,0.01,
SIS,D,down,netsci,1,0,0.01,
SIS,D,down,physician_trust,1,0,0.01,
SIS,D,down,protein,1,0,0.01,
SIS,D,down,proximity,1,0,0.01,
SIS,D,down,smallworld,1,0,0.01,
SIS,D,down,students,1,0,0.01,
SIS,D,down,train_terrorists,1,0,0.01,
SIS,D,down,tree,1,0.2,0.01,
SIS,D,down,windsurfers,1,0,0.01,
SIS,D,up,adjnoun,0,0.2,0.01,
SIS,D,up,barabasialbert,0,0.3,0.01,
SIS,D,up,canton,0,0.1,0.01,
SIS,D,up,catlins,0,0.3,0.01,
SIS,D,up,chesapeake,0,0.2,0.01,
SIS,D,up,dolphin,0,0.3,0.01,
SIS,D,up,drug,0,0.3,0.01,
SIS,D,up,ecoli,0,0.2,0.01,
SIS,D,up,email_company,0,0.025,0.01,
SIS,D,up,erdosrenyi,0,0.2,0.01,
SIS,D,up,flamingo,0,0.2,0.01,
SIS,D,up,gap_junction_herm,0,0.1,0.01,
SIS,D,up,jazz,0,0.05,0.01,
SIS,D,up,lattice,0,0.3,0.01,
SIS,D,up,metabolic,0,0.05,0.01,
SIS,D,up,montreal,0,0.2,0.01,
SIS,D,up,netsci,0,0.2,0.01,
SIS,D,up,physician_trust,0,0.2,0.01,
SIS,D,up,protein,0,0.3,0.01,
SIS,D,up,proximity,0,0.1,0.01,
SIS,D,up,smallworld,0,0.2,0.01,
SIS,D,up,students,0,0.3,0.01,
SIS,D,up,train_terrorists,0,0.1,0.01,
SIS,D,up,tree,0,0.5,0.01,
SIS,D,up,windsurfers,0,0.1,0.01,
doublewell,D,down,contigusa,1,0.3,0.01,
doublewell,u,down,contigusa,0,-4,0.01,0.05
doublewell,D,up,contigusa,0,0.4,0.01,
doublewell,u,up,contigusa,0,3,0.01,0.05
mutualistic,D,down,contigusa,1.5,0.5,0.01,
mutualistic,u,down,contigusa,0,-3,0.01,0.05
genereg,D,down,contigusa,1,0.3,0.01,
genereg,u,down,contigusa,0,-1,0.01,
SIS,D,down,contigusa,1,0,0.01,
SIS,D,up,contigusa,0,0.3,0.01,
doublewell,D,down,iceland,1,0.3,0.01,
doublewell,u,down,iceland,0,-4,0.01,0.05
doublewell,D,up,iceland,0,0.2,0.01,
doublewell,u,up,iceland,0,2,0.01,0.05
mutualistic,D,down,iceland,1.5,0.5,0.01,
mutualistic,u,down,iceland,0,-3,0.01,0.05
genereg,D,down,iceland,1,0.3,0.01,
genereg,u,down,iceland,0,-0.5,0.01,
SIS,D,down,iceland,1,0,0.01,
SIS,D,up,iceland,0,0.3,0.01,
doublewell,D,down,hk100,1,0.1,0.01,
doublewell,u,down,hk100,0,-4,0.01,0.05
doublewell,D,up,hk100,0,0.2,0.01,
doublewell,u,up,hk100,0,2,0.01,0.05
mutualistic,D,down,hk100,1,0.5,0.01,
mutualistic,u,down,hk100,0,-3,0.01,0.05
genereg,D,down,hk100,1,0.3,0.01,
genereg,u,down,hk100,0,-2,0.01,
SIS,D,down,hk100,1,0,0.01,
SIS,D,up,hk100,0,0.3,0.01,
doublewell,D,down,genefusion,1,0.3,0.01,
doublewell,u,down,genefusion,0,-4,0.01,0.05
doublewell,D,up,genefusion,0,0.2,0.01,
doublewell,u,up,genefusion,0,2,0.01,0.05
mutualistic,D,down,genefusion,1.5,1,0.01,
mutualistic,u,down,genefusion,0,-3,0.01,0.05
genereg,D,down,genefusion,1.5,0.5,0.01,
genereg,u,down,genefusion,0,-0.5,0.01,1.5
SIS,D,down,genefusion,1,0,0.01,
SIS,D,up,genefusion,0,0.3,0.01,
doublewell,D,down,football,1,0,0.01,
doublewell,u,down,football,0,-5,0.01,0.05
doublewell,D,up,football,0,0.2,0.01,
doublewell,u,up,football,0,3,0.01,0.05
mutualistic,D,down,football,1,0,0.01,
mutualistic,u,down,football,0,-4,0.01,0.05
genereg,D,down,football,1,0.1,0.01,
genereg,u,down,football,0,-7,0.01,
SIS,D,down,football,1,0,0.01,
SIS,D,up,football,0,0.2,0.01,
doublewell,D,down,wiki_ht,1,0.3,0.001,
doublewell,u,down,wiki_ht,0,-4,0.01,0.05
doublewell,D,up,wiki_ht,0,0.025,0.001,
doublewell,u,up,wiki_ht,0,2,0.01,0.01
mutualistic,D,down,wiki_ht,1.5,1,0.005,
mutualistic,u,down,wiki_ht,0,-3,0.01,0.05
genereg,D,down,wiki_ht,1,0.1,0.01,
genereg,u,down,wiki_ht,0,-0.5,0.01,
SIS,D,down,wiki_ht,1,0,0.01,
SIS,D,up,wiki_ht,0,0.1,0.01,
doublewell,D,down,yeast,1,0.3,0.01,
doublewell,u,down,yeast,0,-4,0.01,0.05
doublewell,D,up,yeast,0,0.05,0.01,
doublewell,u,up,yeast,0,2,0.01,0.025
mutualistic,D,down,yeast,1.5,1,0.01,
mutualistic,u,down,yeast,0,-3,0.01,0.05
genereg,D,down,yeast,1.5,0.5,0.01,
genereg,u,down,yeast,0,-1,0.01,2
SIS,D,down,yeast,1,0,0.01,
SIS,D,up,yeast,0,0.2,0.01,
doublewell,D,down,SITC,1,0.3,0.01,
doublewell,u,down,SITC,0,-4,0.01,0.05
doublewell,D,up,SITC,0,0.1,0.01,
doublewell,u,up,SITC,0,1,0.01,0.05
mutualistic,D,down,SITC,1.5,1,0.01,
mutualistic,u,down,SITC,0,-3,0.01,0.05
genereg,D,down,SITC,1.5,0.5,0.01,
genereg,u,down,SITC,0,-0.5,0.01,1.5
SIS,D,down,SITC,1,0,0.01,
SIS,D,up,SITC,0,0.1,0.01,
doublewell,D,down,us_air_traffic,1,0,0.01,
doublewell,u,down,us_air_traffic,0,-4,0.01,0.05
doublewell,D,up,us_air_traffic,0,1,0.01,
doublewell,u,up,us_air_traffic,0,5,0.01,0.01
mutualistic,D,down,us_air_traffic,1.2,0.8,0.001,
mutualistic,u,down,us_air_traffic,0,-3,0.01,0.05
genereg,D,down,us_air_traffic,1,0,0.01,
genereg,u,down,us_air_traffic,0,-5,0.01,
SIS,D,down,us_air_traffic,1,0,0.01,
SIS,D,up,us_air_traffic,0,0.1,0.01,
doublewell,D,down,jung_c,1,0.3,0.005,
doublewell,u,down,jung_c,0,-4,0.01,0.05
doublewell,D,up,jung_c,0,0.05,0.005,
doublewell,u,up,jung_c,0,1,0.01,0.025
mutualistic,D,down,jung_c,1.5,1,0.01,
mutualistic,u,down,jung_c,0,-3,0.01,0.05
genereg,D,down,jung_c,1,0.2,0.01,
genereg,u,down,jung_c,0,-1,0.01,1.5
SIS,D,down,jung_c,1,0,0.01,
SIS,D,up,jung_c,0,0.1,0.01,
doublewell,D,down,euroroad,1,0,0.01,
doublewell,u,down,euroroad,0,-5,0.01,0.05
doublewell,D,up,euroroad,0,1,0.01,
doublewell,u,up,euroroad,0,5,0.01,0.05
mutualistic,D,down,euroroad,1,0,0.01,
mutualistic,u,down,euroroad,0,-5,0.01,0.05
genereg,D,down,euroroad,1,0,0.01,
genereg,u,down,euroroad,0,-5,0.01,
SIS,D,down,euroroad,1,0,0.01,
SIS,D,up,euroroad,0,1,0.01,
doublewell,D,down,london_transport,1,0.3,0.01,
doublewell,u,down,london_transport,0,-4,0.01,0.05
doublewell,D,up,london_transport,0,0.4,0.01,
doublewell,u,up,london_transport,0,3,0.01,0.05
mutualistic,D,down,london_transport,1.5,0.5,0.01,
mutualistic,u,down,london_transport,0,-3,0.01,0.05
genereg,D,down,london_transport,1.5,1,0.01,
genereg,u,down,london_transport,0,-0.5,0.01,1.5
SIS,D,down,london_transport,1,0.2,0.01,
SIS,D,up,london_transport,0,0.4,0.01,
doublewell,D,down,ug_village,1,0.3,0.01,
doublewell,u,down,ug_village,0,-4,0.01,0.05
doublewell,D,up,ug_village,0,0.1,0.01,
doublewell,u,up,ug_village,0,2,0.01,0.025
mutualistic,D,down,ug_village,1.5,0.5,0.01,
mutualistic,u,down,ug_village,0,-3,0.01,0.05
genereg,D,down,ug_village,1,0.2,0.01,
genereg,u,down,ug_village,0,-0.5,0.01,
SIS,D,down,ug_village,1,0,0.01,
SIS,D,up,ug_village,0,0.2,0.01,
