source,target
0,1
0,5
0,12
0,16
0,30
0,32
1,2
1,5
1,6
1,7
1,8
1,9
1,11
1,13
1,14
1,15
1,16
1,17
1,18
1,30
1,31
1,32
1,33
2,30
3,5
3,16
4,30
5,6
5,7
5,8
5,9
5,11
5,12
5,13
5,14
5,16
5,17
5,18
6,33
7,8
8,9
8,13
8,16
8,20
8,23
10,13
10,16
10,22
11,12
12,13
12,15
12,16
12,24
13,14
13,15
13,22
14,15
14,16
15,16
15,22
15,30
16,17
16,18
16,22
16,30
16,32
16,33
18,30
18,33
19,30
21,32
22,5
22,33
26,34
27,34
28,34
31,32
31,33
