# index, _pos
151,"array([-13.26338525,  12.6918198 ])"
152,"array([-5.10636026, -5.81542641])"
153,"array([ 15.35365333, -18.50805761])"
154,"array([-4.03670814, -9.64716127])"
155,"array([ 4.4111361 , -9.16341226])"
156,"array([ -4.27180991, -19.06314877])"
157,"array([26.35917112, 19.73879782])"
158,"array([ 11.93118751, -11.08354117])"
159,"array([ 1.47333942, 12.44485911])"
160,"array([ 17.83415048, -38.1878839 ])"
161,"array([ 16.58447864, -19.24199938])"
162,"array([ 20.46425916, -12.65368119])"
163,"array([33.12813996, 23.47305066])"
164,"array([-10.79069339,   2.07947106])"
165,"array([ 7.16534682, -8.37203957])"
166,"array([ 5.14671737, -0.27020576])"
167,"array([-7.66118802, -8.82762335])"
168,"array([ 4.08592232, -3.25999981])"
169,"array([-0.51415547,  9.20100348])"
170,"array([20.57915807, 24.49998599])"
171,"array([ 48.22849692, -13.9361007 ])"
172,"array([30.10152648, -1.93552595])"
173,"array([49.22091672,  0.20899006])"
174,"array([ 18.89001864, -11.89507324])"
175,"array([ 18.11909526, -12.16739672])"
176,"array([ 19.25509864, -12.78153424])"
177,"array([ 17.29139788, -12.78223126])"
178,"array([ 19.47447504, -11.00935013])"
179,"array([-13.3969475 , -17.88539273])"
180,"array([ 14.80234185, -15.72495267])"
181,"array([17.5640615 , -9.06781979])"
182,"array([23.22089642, -5.02596656])"
183,"array([10.02052638, -6.441945  ])"
184,"array([20.76654741, -4.83391059])"
185,"array([27.30754327, -2.9071745 ])"
186,"array([19.81767198,  3.3767884 ])"
187,"array([-2.40258307, 12.92942915])"
188,"array([-5.58685584, 11.67765063])"
189,"array([19.93526387,  5.34697448])"
190,"array([19.10093721,  6.62647487])"
191,"array([20.02361095, -1.80479873])"
192,"array([23.21821816, -6.57399883])"
193,"array([22.19902553, -6.60196671])"
194,"array([19.23348537, -2.95945975])"
195,"array([21.72359938, -7.93047867])"
196,"array([18.66018244, -9.1290548 ])"
197,"array([22.35881151, -8.43492283])"
198,"array([15.33572878, -0.78576946])"
199,"array([23.98158667, 22.77421854])"
200,"array([ 31.83837433, -25.98469241])"
201,"array([ 36.47194721, -31.57988545])"
202,"array([6.53595862, 6.4485744 ])"
203,"array([12.71557185,  1.0549659 ])"
204,"array([ 39.99485726, -28.56520932])"
205,"array([15.74073661, -3.25127086])"
206,"array([18.09194243, -4.41185004])"
207,"array([17.84570058, -3.43221864])"
208,"array([15.91353096, -4.40746839])"
209,"array([13.33537703, -2.21959569])"
210,"array([17.00863515, -4.26277392])"
211,"array([20.97466899, -1.18685793])"
212,"array([ 22.81851496, -12.42613252])"
213,"array([22.07225846, -3.15053915])"
214,"array([28.50207536, -8.08542025])"
215,"array([25.82843769, -4.53341757])"
216,"array([23.24150593, -7.9871195 ])"
217,"array([-9.48127563,  5.34902402])"
218,"array([ 28.55493292, -11.22936142])"
219,"array([30.21654757, -7.35478909])"
220,"array([29.77033359, -6.10368779])"
221,"array([ 27.33755006, -11.56891041])"
222,"array([ 22.32727584, -15.4044902 ])"
223,"array([ 26.37119668, -12.46589298])"
224,"array([ 24.5515203, -15.3821694])"
225,"array([ 26.77081424, -10.39267342])"
226,"array([ 23.37044273, -15.75949154])"
227,"array([ 23.65892477, -14.62789094])"
228,"array([ 28.01119923, -10.24158559])"
229,"array([ 23.5690254 , -13.60202639])"
230,"array([ 28.2806278 , -12.42848375])"
231,"array([ 22.42888298, -14.27562955])"
232,"array([ 26.06300308, -11.34704965])"
233,"array([ 24.65835555, -13.15741145])"
234,"array([ 27.36703994, -13.00785492])"
235,"array([ 24.93511538, -14.31425645])"
236,"array([-17.25315307,   4.1815871 ])"
237,"array([24.99966287, -3.34310404])"
238,"array([24.65980137, -4.53788536])"
239,"array([28.09439996, -6.5258281 ])"
240,"array([24.27076936, -7.93096355])"
241,"array([23.91264361, -3.55939892])"
242,"array([24.69838942, -7.2769841 ])"
243,"array([ 31.91706567, -10.20140166])"
244,"array([27.29348808, -9.08972744])"
245,"array([ 34.11391481, -11.70936363])"
246,"array([ 29.01947883, -15.93691337])"
247,"array([42.24284477, -7.46738815])"
248,"array([34.55445319, -9.8069804 ])"
249,"array([ -7.19439701, -12.61123589])"
250,"array([-10.16248064, -22.18801096])"
251,"array([27.54166063, -4.80851643])"
252,"array([ -7.89926866, -29.73729067])"
253,"array([  1.75602147, -23.24762122])"
254,"array([39.17314709, 13.99009184])"
255,"array([25.1955103 , 26.47855013])"
256,"array([-15.47118658,   8.6605452 ])"
257,"array([ -0.63331465, -26.11995029])"
258,"array([ 9.21128914, -4.35418959])"
259,"array([-7.70991846,  8.53899762])"
260,"array([14.27513827, -3.69861375])"
261,"array([19.12772921, 20.90252603])"
262,"array([30.0416014 , -9.14209781])"
263,"array([ 2.542475  , 22.38741155])"
264,"array([ 24.67858478, -32.87970665])"
265,"array([36.73219726, 21.13457017])"
266,"array([ 21.13444551, -17.98958026])"
267,"array([-11.40917079,   8.96374001])"
268,"array([ 35.26244257, -23.45072677])"
269,"array([ 39.29192061, -24.53858622])"
270,"array([ -0.79918096, -34.4986988 ])"
271,"array([ 7.09237299, -6.25237459])"
272,"array([ 3.3705712 , -2.17132357])"
273,"array([-6.34632863, 15.25536022])"
274,"array([17.68667241, -7.02780291])"
275,"array([ 16.23274524, -13.50634494])"
276,"array([ -0.55327307, -30.22487837])"
277,"array([-13.44902934, -13.44610679])"
278,"array([21.72053906,  2.26371076])"
279,"array([-4.63274569, 21.9626683 ])"
280,"array([ 3.97007088, 15.29013754])"
281,"array([ 32.87384566, -33.99724091])"
282,"array([ 28.23379395, -27.87495305])"
283,"array([ 45.36501997, -10.53531604])"
284,"array([-13.25233161,   5.35094711])"
285,"array([ -3.9993868 , -24.64727071])"
286,"array([ 3.75622606, -0.81812986])"
287,"array([ 13.53569756, -39.20674521])"
288,"array([47.48626498,  5.35660381])"
289,"array([20.22164725, -3.8084564 ])"
290,"array([41.33061964, 10.14394095])"
291,"array([ 8.83426098, -5.50475162])"
292,"array([ -6.2389534 , -16.16583925])"
293,"array([19.31321929, -4.03815636])"
294,"array([28.85877388, 22.28336053])"
295,"array([ 43.43114806, -24.75044612])"
296,"array([21.96894724,  5.05951906])"
297,"array([ 18.54169608, -11.11912035])"
298,"array([ 23.99523217, -10.41792058])"
299,"array([ 21.54397109, -10.57338219])"
300,"array([ 27.92841379, -16.83054172])"
301,"array([ 26.49102528, -13.94948057])"
302,"array([26.82061092, -7.01010797])"
303,"array([ 20.52281527, -10.83196163])"
304,"array([ 16.64101492, -11.53431763])"
305,"array([12.47009154, 17.35631047])"
306,"array([-4.06476087,  8.4186286 ])"
307,"array([29.21901751, 26.08943052])"
308,"array([-17.93618937,  -5.08596994])"
309,"array([45.75949394,  9.49990815])"
310,"array([24.27186074, -6.22539705])"
311,"array([26.48250263, -8.47397807])"
312,"array([ 20.7624034 , -14.56188726])"
313,"array([21.12169674,  0.36090749])"
314,"array([ 17.9978877 , -18.75827401])"
315,"array([13.98936291, -4.61387306])"
316,"array([ 7.21007758, -4.64953883])"
317,"array([10.27649123, -9.41897315])"
318,"array([ 16.02769018, -11.17504306])"
319,"array([  9.76884059, -11.26300544])"
320,"array([10.98035074, -0.31366168])"
321,"array([16.43622975, -9.10259859])"
322,"array([ 10.31150119, -12.50671299])"
323,"array([-3.65865616, 17.52392882])"
324,"array([ 17.06645009, -29.1234008 ])"
325,"array([ 29.21975134, -35.87273314])"
326,"array([-10.03838937, -15.11038195])"
327,"array([ 18.31127604, -13.03765344])"
328,"array([ 17.60566869, -13.55260745])"
329,"array([16.97055529, -6.77188948])"
330,"array([ 15.46980248, -10.69620327])"
331,"array([ 19.80923337, -11.90344577])"
332,"array([13.3642647 , -5.56097913])"
333,"array([15.96238549, -8.37987933])"
334,"array([ 16.99578394, -10.72635737])"
335,"array([  7.36689243, -28.63357594])"
336,"array([  8.81223674, -28.78030395])"
337,"array([  7.13172915, -30.02954184])"
338,"array([  8.43711033, -29.92573574])"
339,"array([ 10.00783689, -30.11622799])"
340,"array([ 13.12467102, -31.21022347])"
341,"array([21.47017147, 28.35705166])"
342,"array([-7.63324104, 19.18019969])"
343,"array([ 2.19051923, 18.46263773])"
344,"array([40.37917036, 17.90642069])"
345,"array([ 11.48978182, -30.67266284])"
346,"array([42.9448151 ,  0.43833254])"
347,"array([14.23586505,  1.64658995])"
348,"array([ 42.10051156, -12.66950178])"
349,"array([ 24.45185529, -28.87438451])"
350,"array([ 28.42100278, -31.8829003 ])"
351,"array([ -6.48583002, -21.69520328])"
352,"array([ 5.63189148, 19.8390333 ])"
353,"array([ 21.74858771, -38.54623447])"
354,"array([16.53734831, -0.57134988])"
355,"array([  6.30700317, -35.02227518])"
356,"array([-11.26157987, -26.25446721])"
357,"array([44.06362839,  1.71406742])"
358,"array([ 6.43241511, 23.44656484])"
359,"array([43.37131166, -1.17087212])"
360,"array([44.47428565,  0.09159128])"
361,"array([11.9584014 , 24.06957087])"
362,"array([16.94844243, -2.60393178])"
363,"array([ 44.70782453, -15.90773387])"
364,"array([-9.23235594, 12.36123588])"
365,"array([10.39961823, 23.88135852])"
366,"array([22.83840016, -2.24221998])"
367,"array([25.5013553 , -0.71884784])"
368,"array([17.6501742, -6.0775348])"
369,"array([ 11.00784503, -35.90029505])"
370,"array([11.4805841 ,  4.61365285])"
371,"array([22.09614745, 18.9023556 ])"
372,"array([  0.89552796, -19.51396634])"
373,"array([10.23495078, 10.74198505])"
374,"array([-17.90402034,  -0.83836821])"
375,"array([ 8.6675032 , 10.13587158])"
376,"array([ 7.70222915, 16.8290463 ])"
377,"array([11.59399824,  9.76289412])"
378,"array([17.21501907, 17.64100343])"
379,"array([ -3.98036696, -28.44708951])"
380,"array([8.31456093, 8.67591418])"
381,"array([45.5175705 , -5.74882974])"
382,"array([10.30104851,  7.86432164])"
383,"array([7.21058089, 5.39405299])"
384,"array([11.21309986,  7.08458639])"
385,"array([10.00295389,  9.25185637])"
386,"array([8.8883489, 5.3363589])"
387,"array([19.51590457, -9.69261834])"
